Provincia,Canton,Latitude,Longitude,Codigo_INEC,C,Eventos,Perdida,Perdida_mill,IDS,IGM_Desarrollo_Gestion_Inst,IGM_Planif_Partic_Ciud_Rend_Cuent,IGM_Gestion_Desarrollo_Amb,IGM_Gestion_Servicios_Econ,IGM_Gestion_Serv_Social,area_km,Pobla_total,Densidad_poblacion
Alajuela,Alajuela,10.0180559,-84.2158356,20101,12,509,19438294720,19438,29472,45,9849657,63,34,48,2,58,5
Alajuela,Atenas,9.9799995,-84.3819427,20501,10,103,5407652995,5407,652995,68,97846097,64,99,57,96,69,53
Alajuela,Grecia,10.0747223,-84.3133316,20301,6,345,25389617755,25389,61776,47,8551973,88,2,70,18,44,43
Alajuela,Guatuso,10.6752777,-84.8230591,21501,18,49,381128117,8,381,1281178,90,76863686,80,94,80,69,79
Alajuela,Los Chiles,11.0325003,-84.7180557,21401,3,360,46713548243,46713,54824,71,88499866,87,25,82,88,86,93
Alajuela,Naranjo,10.0986109,-84.3805542,20601,17,182,4541306003,4541,306003,38,56129878,77,62,45,2,53,27
Alajuela,Orotina,9.9136114,-84.5258331,20901,2,63,6684962856,6684,962856,100,88,94,85,64,53,29,85
Alajuela,Palmares,10.0550003,-84.4344406,20701,8,2,2839081,406,2,839081406,77,49036882,81,1,83,4,44
Alajuela,Poás,10.0780563,-84.2469406,20801,20,197,10152118337,10152,11834,32,62205607,67,25,34,22,36,72
Alajuela,San Carlos,10.3249998,-84.4300003,21001,15,0,0,0,96,76765787,85,65,73,87,83,68,61
Alajuela,San Mateo,9.9372215,-84.5250015,20401,7,167,10112329338,10112,32934,55,92558881,90,93,73,58,69,97
Alajuela,San Ramón,10.0883331,-84.4716644,20201,14,3,734540950,2,734,5409502,83,59200057,86,7,90,38,95
Alajuela,Upala,10.8986111,-85.0166702,21301,19,960,40085341378,40085,34138,44,57522309,91,81,91,38,66,54
Alajuela,Valverde Vega,10.0916672,-84.3491669,21201,4,238,10850791384,10850,79138,53,3116743,66,82,49,68,34,93
Cartago,Alvarado,9.916667,-83.8097229,30601,9,91,5369742845,5369,742845,87,9705333,93,12,88,96,81,25
Cartago,Cartago,9.8638887,-83.9124985,30101,5,240,7730226095,7730,226095,23,69961656,73,21,72,6,26,39
Cartago,El Guarco,9.8461113,-83.9402771,30801,13,7,888763956,3,888,7639563,72,95261848,83,81,63,65,36
Cartago,Jiménez,9.895278,-83.7480545,30401,16,307,7529996752,7529,996752,39,85067121,73,9,67,1,65,69
Cartago,La Unión,9.9094439,-83.9869461,30301,11,31,4909054004,4909,54004,82,83817681,76,29,62,68,67,56
