Codigo_INEC,Codigo_INEC,Distancia en auto,Tiempo en ruta
20101,20101,0,0
20101,21101,52447,4112
20101,20501,27351,2034
20101,20301,18197,2131
20101,21501,153580,11123
20101,21401,170039,12239
20101,20601,33045,2383
20101,20901,46821,3125
20101,20701,39852,2704
20101,20801,11695,1391
20101,21001,80125,6638
20101,20401,49276,3282
20101,20201,44834,3094
20101,21301,218617,12729
20101,21201,31562,2379
20101,30601,61796,5087
20101,30101,47124,3974
20101,30801,49037,4003
20101,30401,73061,6200
20101,30301,36295,3018
20101,30701,48392,3983
20101,30201,53274,4544
20101,30501,83730,7117
20101,50701,131738,7969
20101,50401,176972,9890
20101,50601,151875,9061
20101,50501,230745,12707
20101,51101,190604,10961
20101,51001,257775,13521
20101,50101,199840,11027
20101,50901,198754,11121
20101,50201,193625,11029
20101,50301,213445,12110
20101,50801,173574,10378
20101,40201,12826,1718
20101,40701,12230,1388
20101,40801,9087,1161
20101,40101,12875,1662
20101,40601,21096,2657
20101,40901,15281,2043
20101,40501,16207,2058
20101,40401,7924,1154
20101,40301,18175,1843
20101,41001,82038,7140
20101,70601,94233,6986
20101,70101,176793,12313
20101,70501,146696,10164
20101,70201,83525,6283
20101,70301,117235,8357
20101,70401,236877,15634
20101,60601,154421,9072
20101,60301,223268,15366
20101,61001,330428,17554
20101,60801,336304,18333
20101,60201,70637,4800
20101,61101,89344,5652
20101,60701,316980,17509
20101,60401,92785,5769
20101,60501,247589,13415
20101,60901,131463,7768
20101,60101,86690,5440
20101,11201,48925,4763
20101,11001,23244,1961
20101,10601,29020,2775
20101,11801,29011,2392
20101,10301,27282,2271
20101,11701,84746,7090
20101,10201,22154,1947
20101,10801,22833,2244
20101,12001,67440,6724
20101,11501,23805,2393
20101,10701,27363,2154
20101,11401,23908,2390
20101,11901,158094,11516
20101,10401,47836,4109
20101,10101,20973,1969
20101,10901,18385,2045
20101,10501,71551,7305
20101,11301,21038,1952
20101,11601,43479,3272
20101,11101,29221,3071
21101,20101,52447,4112
21101,21101,0,0
21101,20501,41233,3705
21101,20301,32729,3306
21101,21501,103488,7704
21101,21401,124493,8750
21101,20601,19449,1842
21101,20901,75652,5417
21101,20701,26925,2601
21101,20801,46052,4585
21101,21001,28062,2643
21101,20401,61698,5391
21101,20201,22992,2355
21101,21301,142480,10142
21101,21201,25237,2488
21101,30601,108588,8161
21101,30101,93917,7049
21101,30801,95829,7078
21101,30401,119853,9275
21101,30301,83087,6093
21101,30701,95185,7058
21101,30201,100066,7619
21101,30501,130522,10192
21101,50701,114459,8496
21101,50401,159692,10417
21101,50601,134595,9587
21101,50501,213466,13233
21101,51101,173325,11488
21101,51001,240496,14048
21101,50101,182560,11553
21101,50901,181475,11647
21101,50201,176346,11555
21101,50301,196166,12637
21101,50801,156295,10904
21101,40201,59731,4751
21101,40701,59023,4463
21101,40801,55992,4195
21101,40101,59780,4695
21101,40601,68001,5690
21101,40901,62186,5076
21101,40501,63112,5091
21101,40401,57163,4471
21101,40301,64967,4918
21101,41001,84617,6292
21101,70601,139745,9591
21101,70101,222305,14918
21101,70501,192208,12769
21101,70201,129038,8888
21101,70301,162748,10962
21101,70401,282389,18239
21101,60601,183252,11364
21101,60301,270060,18441
21101,61001,359260,19846
21101,60801,365135,20625
21101,60201,57328,5010
21101,61101,118175,7944
21101,60701,345811,19801
21101,60401,75506,6296
21101,60501,276420,15707
21101,60901,160294,10060
21101,60101,77435,6572
21101,11201,86798,7757
21101,11001,70037,5036
21101,10601,75813,5849
21101,11801,75803,5466
21101,10301,74075,5346
21101,11701,131538,10165
21101,10201,65807,4997
21101,10801,69625,5319
21101,12001,114232,9799
21101,11501,70597,5467
21101,10701,59734,4522
21101,11401,70701,5464
21101,11901,204886,14590
21101,10401,80207,6477
21101,10101,67766,5044
21101,10901,59928,4518
21101,10501,118343,10380
21101,11301,67830,5027
21101,11601,72310,5564
21101,11101,76013,6145
20501,20101,27351,2034
20501,21101,41233,3705
20501,20501,0,0
20501,20301,17032,1680
20501,21501,130266,10286
20501,21401,159069,11741
20501,20601,21554,1949
20501,20901,27162,1848
20501,20701,13840,1559
20501,20801,30501,2843
20501,21001,68634,6204
20501,20401,21022,1815
20501,20201,21520,2256
20501,21301,198958,11452
20501,21201,20071,1945
20501,30601,77037,5657
20501,30101,62365,4544
20501,30801,64277,4574
20501,30401,88301,6771
20501,30301,51535,3589
20501,30701,63633,4554
20501,30201,68515,5115
20501,30501,98970,7687
20501,50701,112079,6692
20501,50401,157312,8613
20501,50601,132216,7783
20501,50501,211086,11429
20501,51101,170945,9684
20501,51001,238116,12244
20501,50101,180180,9750
20501,50901,179095,9843
20501,50201,173966,9752
20501,50301,193786,10833
20501,50801,153915,9100
20501,40201,34600,2822
20501,40701,23865,2146
20501,40801,30862,2265
20501,40101,34649,2766
20501,40601,48303,3759
20501,40901,42236,3101
20501,40501,37981,3162
20501,40401,32032,2542
20501,40301,40931,2883
20501,41001,120725,7915
20501,70601,113121,7802
20501,70101,195681,13128
20501,70501,165584,10979
20501,70201,102414,7098
20501,70301,136124,9172
20501,70401,255765,16449
20501,60601,134762,7795
20501,60301,297989,15527
20501,61001,310769,16276
20501,60801,316645,17056
20501,60201,42614,3382
20501,61101,69685,4375
20501,60701,297321,16231
20501,60401,73126,4492
20501,60501,227930,12138
20501,60901,111804,6491
20501,60101,67030,4162
20501,11201,53017,5074
20501,11001,38485,2532
20501,10601,44261,3345
20501,11801,44251,2962
20501,10301,42523,2842
20501,11701,99986,7661
20501,10201,32026,2314
20501,10801,41721,3059
20501,12001,82681,7295
20501,11501,43746,2984
20501,10701,25953,1839
20501,11401,42797,3205
20501,11901,206991,11913
20501,10401,30472,3676
20501,10101,39654,2901
20501,10901,26147,1835
20501,10501,86791,7876
20501,11301,39927,2767
20501,11601,23820,1995
20501,11101,48109,3886
20301,20101,18197,2131
20301,21101,32729,3306
20301,20501,17032,1680
20301,20301,0,0
20301,21501,136406,10426
20301,21401,156679,11775
20301,20601,13167,1413
20301,20901,44137,3531
20301,20701,22678,2006
20301,20801,13681,1397
20301,21001,60248,5668
20301,20401,37753,3497
20301,20201,27660,2396
20301,21301,175398,12864
20301,21201,7541,829
20301,30601,86600,6401
20301,30101,71928,5288
20301,30801,73840,5318
20301,30401,97864,7514
20301,30301,61098,4332
20301,30701,73196,5298
20301,30201,78078,5859
20301,30501,108534,8431
20301,50701,116475,8185
20301,50401,161708,10106
20301,50601,136611,9276
20301,50501,215482,12922
20301,51101,175341,11177
20301,51001,242512,13737
20301,50101,184576,11243
20301,50901,183491,11336
20301,50201,178362,11245
20301,50301,198182,12326
20301,50801,158311,10593
20301,40201,37742,2991
20301,40701,37034,2703
20301,40801,34004,2434
20301,40101,37791,2935
20301,40601,46012,3930
20301,40901,40197,3315
20301,40501,41123,3331
20301,40401,35174,2711
20301,40301,42978,3157
20301,41001,87502,7678
20301,70601,119037,8301
20301,70101,201597,13627
20301,70501,171499,11478
20301,70201,108329,7597
20301,70301,142039,9671
20301,70401,261681,16948
20301,60601,151737,9477
20301,60301,248072,16680
20301,61001,327745,17959
20301,60801,333620,18739
20301,60201,59344,4699
20301,61101,86660,6057
20301,60701,314296,17914
20301,60401,77522,5985
20301,60501,244906,13821
20301,60901,128779,8173
20301,60101,84006,5845
20301,11201,64809,5997
20301,11001,48048,3276
20301,10601,53824,4089
20301,11801,53814,3706
20301,10301,52086,3585
20301,11701,109550,8405
20301,10201,43819,3237
20301,10801,47637,3558
20301,12001,92244,8038
20301,11501,48609,3707
20301,10701,37746,2761
20301,11401,48712,3704
20301,11901,182898,12830
20301,10401,58218,4717
20301,10101,45777,3283
20301,10901,37940,2758
20301,10501,96354,8619
20301,11301,45842,3266
20301,11601,40795,3678
20301,11101,54024,4385
21501,20101,153580,11123
21501,21101,103488,7704
21501,20501,130266,10286
21501,20301,136406,10426
21501,21501,0,0
21501,21401,81622,6743
21501,20601,118335,9264
21501,20901,179729,10956
21501,20701,115178,8749
21501,20801,144092,10602
21501,21001,75573,5149
21501,20401,170755,10832
21501,20201,108210,8151
21501,21301,38993,2438
21501,21201,127520,9610
21501,30601,224332,14510
21501,30101,209661,13397
21501,30801,211573,13426
21501,30401,240979,15160
21501,30301,198831,12441
21501,30701,210929,13406
21501,30201,215810,13967
21501,30501,230177,14182
21501,50701,104919,6714
21501,50401,84961,5248
21501,50601,72387,4803
21501,50501,138735,8064
21501,51101,155118,9146
21501,51001,122742,8968
21501,50101,107829,6384
21501,50901,163268,9305
21501,50201,158139,9214
21501,50301,163290,9466
21501,50801,47622,4351
21501,40201,149027,11321
21501,40701,158603,11321
21501,40801,155573,11053
21501,40101,159360,11553
21501,40601,178124,10703
21501,40901,183769,11235
21501,40501,184760,11392
21501,40401,144754,10873
21501,40301,186661,11459
21501,41001,105291,6060
21501,70601,160419,9359
21501,70101,242979,14686
21501,70501,212882,12536
21501,70201,149712,8656
21501,70301,183422,10730
21501,70401,303063,18006
21501,60601,275576,16241
21501,60301,438803,23974
21501,61001,451583,24723
21501,60801,457459,25503
21501,60201,150136,9349
21501,61101,210499,12821
21501,60701,438135,24678
21501,60401,146073,9134
21501,60501,368744,20585
21501,60901,252618,14937
21501,60101,158875,10053
21501,11201,186378,14616
21501,11001,169617,11894
21501,10601,175393,12708
21501,11801,193131,11872
21501,10301,173655,12204
21501,11701,247282,16513
21501,10201,165387,11855
21501,10801,185010,11270
21501,12001,213813,16657
21501,11501,189651,11509
21501,10701,159314,11380
21501,11401,183493,11024
21501,11901,347805,20360
21501,10401,179787,13335
21501,10101,186857,11129
21501,10901,159508,11377
21501,10501,217923,17238
21501,11301,186606,11247
21501,11601,152696,12222
21501,11101,182367,11103
21401,20101,170039,12239
21401,21101,124493,8750
21401,20501,159069,11741
21401,20301,156679,11775
21401,21501,81622,6743
21401,21401,0,0
21401,20601,143334,10463
21401,20901,170481,13268
21401,20701,143983,10170
21401,20801,164879,11558
21401,21001,96576,6141
21401,20401,167157,12984
21401,20201,137015,9572
21401,21301,62664,6609
21401,21201,149122,11109
21401,30601,245119,15466
21401,30101,230447,14353
21401,30801,232360,14382
21401,30401,261765,16116
21401,30301,219618,13397
21401,30701,231715,14362
21401,30201,236597,14923
21401,30501,250964,15138
21401,50701,143079,12132
21401,50401,123122,10666
21401,50601,110548,10221
21401,50501,176895,13482
